index,product,helpful_count,total_comments,url,review_country,reviewed_at,review_text,review_rating,product_company,profile_name,review_title
1207,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=120, India ,2019-07-18,Great phone at great price,5.0 out of 5 stars,Apple,satnam singh,AWESOME XR
256,Apple iPhone XR (64GB) - Black,0,1,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=25, India ,2019-07-15,There's no fingerprint sensor as its Iphone X series..face lock works good even in dark. Display is good fully visible in outdoors. Nice battery backup. Dual sim makes it awsome i.e one E Sim and normal one. May pay nominal fee for esim to operator. Currently only Jio and Airtel support esim..so please consider that.,5.0 out of 5 stars,Apple,Tejveer Singh,Iphone is iphone
2355,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=235, India ,2020-03-05,Everything is super awesome,5.0 out of 5 stars,Apple,Shubham Bepari,Super quality product
175,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=17, India ,2019-08-16,"need i say anything about this phone! it's a bomb. i bought the product red 64GB varient and let me tell you its sexier than it appears in the pictures. camera quality is really good. the portraits are awesome even though it has a single lens. the bezzel looks a bit wide compared to XS and XS Max, but if you are upgrading from Iphone 8 Plus or lower you won't find it different. The liquid display is really nice with wide range of colors displayed really well. i got this during the independence day sale for Rs.52K and its definitely a great deal. DEFINITELY RECOMMENDED!",5.0 out of 5 stars,Apple,Hemang,It's a BOMB!
211,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=21, India ,2019-10-06,"Hi Team,",3.0 out of 5 stars,Apple,Sarvoday Kamble,Headphone quality is not as per iPhone standards
411,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=41, India ,2020-01-04,"Using the XR for the past 3 months and I’m completely delighted to have this model. Certainly a value for money product in the iPhone flagship category. Battery life is excellent, charging for one time in a day itself will have enough power for the remaining day. Camera quality is comparatively better than the other high end categories iPhones.",5.0 out of 5 stars,Apple,Deepak,Just wow !! Worth to have the XR
52,Apple iPhone XR (64GB) - Black,10 people found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=5, India ,2019-08-22,Faulty product delivered and Amazon not giving replacement. Cheating with customer and just making money by scam and defective product delivery. Phone is not usable as display stop working randomly and screen freeze suddenly. I have provide problem video also to Amazon within 10 days of replacement but Amazon just making money and cheating with customer.,1.0 out of 5 stars,Apple,Ratnesh,Pathetic service from Amazon
266,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=26, India ,2020-03-07, Everything is awesome except battery.,4.0 out of 5 stars,Apple,Akshay Patil,My first IPhone 😍
479,Apple iPhone XR (64GB) - Black,2 people found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=47, India ,2019-12-18,Simply love XR! Battery life is great and I’m not really missing the telephoto lens! Do buy product red as it support AIDS Research.,4.0 out of 5 stars,Apple,Amrutha,Great phone
1292,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=129, India ,2019-07-19,Product not a good price as well as not desire range of quality,2.0 out of 5 stars,Apple,Ankur,Product features poor
2871,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=287, India ,2019-11-06,Wow phone,5.0 out of 5 stars,Apple,Priya Prakash MP,Wow
1517,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=151, India ,2019-11-04,It's a very good choice. Best iphone used so far. Worth the price,5.0 out of 5 stars,Apple,Amazon Customer,Worth the money / an excellent gadget
299,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=29, India ,2019-10-27,"I was skeptical at first. Some people mentioned that they received fake of defective products. In my case, the product is genuine. I checked it’s serial number on Apple website too. There is no difference in performance compared to people who bought from stores.",5.0 out of 5 stars,Apple,Mohit Sinha,Amazing and genuine
756,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=75, India ,2019-10-21,"Apple iPhone xR, I think this product don’t need any recommendations, only my review for amazon sale. I bought this at never before price 37999/-",5.0 out of 5 stars,Apple,Vipinvasudeva,Best deal.
44,Apple iPhone XR (64GB) - Black,17 people found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=4, India ,2019-08-13,This Appario seem to be a fraud. My shipment has been smartly tampered and the have managed to overcome the security features. Even iPhone package back label have been tampered. Amazon Customer Care on phone or Twitter is of no help. I need to return this and get a replacement.,1.0 out of 5 stars,Apple,Amazon Customer,Tampered shipment & product
2947,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=294, India ,2019-11-17,Amazing iPhone XR!,5.0 out of 5 stars,Apple,Hari,Amazing product
1366,Apple iPhone XR (64GB) - Black,2 people found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=136, India ,2019-09-26,Not bad,1.0 out of 5 stars,Apple,Vinod,-ve
2550,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=255, India ,2020-01-14,Nice phone,5.0 out of 5 stars,Apple,Amazon Customer,Nice phone
1791,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=179, India ,2019-07-12,"The screen got damaged but it was not observed by us initially. By the time we have seen , we are unable to cancel or replace the product",3.0 out of 5 stars,Apple,Praneeth,Damaged screen
1651,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=165, India ,2019-11-11,Good,5.0 out of 5 stars,Apple,Dom,As Always its an Apple
1777,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=177, India ,2019-11-09,Superb phone,5.0 out of 5 stars,Apple,samara simhareddy,Superb phone
831,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=83, India ,2019-10-13,Good product. Loved by my husband as a birthday gift .,5.0 out of 5 stars,Apple,Mehekh Khan,Super....
2618,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=261, India ,2019-11-11,Super B,5.0 out of 5 stars,Apple,VIKAS,Cooooool
2387,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=238, India ,2019-10-29,Value for money users interface m happy buying the new phone from you,5.0 out of 5 stars,Apple,M.Iqbal,Satisfaction 💯
670,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=67, India ,2019-10-08,When I switched on it started getting heated up near camera.  Mix of gold and yellow is bit ugly. My other side of speaker isn’t working. Selfie portrait is good rest is not much appreciable.,2.0 out of 5 stars,Apple,Amazon Customer,Not worth it
1078,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=107, India ,2020-01-10,When the call come together it hang and light of to use again we put side up down button 2 times,3.0 out of 5 stars,Apple,kapil sharma,I am not satisfied with hang of problem of this phone
1407,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=140, India ,2020-02-19,My charger is spoils in 3 months need replacement,4.0 out of 5 stars,Apple,harshita,Need help
929,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=92, India ,2019-08-17,Got it in 50k during sale. Overall an Excellent phone.😁,4.0 out of 5 stars,Apple,Ashish Kumar Jaiswal,Best apple device in the marker
2890,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=289, India ,2019-10-10,awasome product .,5.0 out of 5 stars,Apple,Amazon Customer,awasome product .
528,Apple iPhone XR (64GB) - Black,One person found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=52, India ,2020-03-01,Fingerprint reader is not there only face lock which is more than perfect,5.0 out of 5 stars,Apple,Buddy,Awesome phone better than cheap Chinese phones
2106,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=210, India ,2019-12-04,Face reader is great.,5.0 out of 5 stars,Apple,Jay Desai,Overall very impressive
1375,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=137, India ,2019-12-30,Amazing,5.0 out of 5 stars,Apple,Dapoli's,Amazing
93,Apple iPhone XR (64GB) - Black,3 people found this helpful,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=9, India ,2020-01-15,Face ID and front camera portrait mode isn't working just after 3 months of purchase. It must be a problem of true depth sensor. My city (Imphal) apple servicing centre doesn't allow me to take for servicing and tells me to go to Guwahati (Assam) for this problem. May be a coincidence because this problem happened when I used amazon basics 10w fast wireless charger which I combine with xiaomi quick charge 3,1.0 out of 5 stars,Apple,wangkhem yuhen singh,Face ID and front camera portrait mode isn't working just after 3 months of purchase.
1717,Apple iPhone XR (64GB) - Black,One person found this helpful,1,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=171, India ,2019-11-13,Good phone at 39K,5.0 out of 5 stars,Apple,Aritra Chatterjee,Great phone
1731,Apple iPhone XR (64GB) - Black,0,0,https://www.amazon.in/Apple-iPhone-XR-64GB-Black/product-reviews/B07JWV47JW/ref=cm_cr_arp_d_paging_btm_next_2?pageNumber=173, India ,2019-10-14,All good less weight,5.0 out of 5 stars,Apple,Bibhu,Good buy
